size,unbalanced_depth,balanced_depth,depth_improvement_percent,memory_unbalanced_mb,memory_balanced_mb,memory_difference_mb,creation_time_ms,balance_time_ms
100,1,1,0.0,17.90625,17.90625,0.0,0.07840000034775585,0.014199999895936344
500,1,1,0.0,17.90625,17.90625,0.0,0.26479999996809056,0.048099999730766285
1000,1,1,0.0,17.90625,17.90625,0.0,1.0752999996839208,0.28959999963262817
2000,1,1,0.0,18.18359375,18.18359375,0.0,0.7175999999162741,0.4877999999735039
5000,1,1,0.0,18.44140625,18.44140625,0.0,1.8121000002793153,0.3728000001501641
