2000 0.119
4000 0.238
6000 0.357
8000 0.476
10000 0.595
12000 0.714
14000 0.833
16000 0.952
18000 1.071
20000 1.190
22000 1.309
24000 1.429
26000 1.548
28000 1.667
30000 1.786
32000 1.905
34000 2.024
36000 2.143
38000 2.262
40000 2.381
42000 2.500
44000 2.619
46000 2.738
48000 2.857
50000 2.976
52000 3.095
54000 3.214
56000 3.333
58000 3.452
60000 3.571
62000 3.690
64000 3.809
66000 3.928
68000 4.047
70000 4.166
72000 4.285
74000 4.404
76000 4.523
78000 4.642
80000 4.761
82000 4.880
84000 4.999
86000 5.118
88000 5.237
90000 5.356
92000 5.475
94000 5.594
96000 5.713
98000 5.832
100000 5.951
