2000 0.357
4000 0.714
6000 1.071
8000 1.429
10000 1.786
12000 2.143
14000 2.500
16000 2.857
18000 3.214
20000 3.571
22000 3.928
24000 4.285
26000 4.642
28000 4.999
30000 5.356
32000 5.713
34000 6.070
36000 6.427
38000 6.784
40000 7.141
42000 7.498
44000 7.856
46000 8.213
48000 8.570
50000 8.927
52000 9.284
54000 9.641
56000 9.998
58000 10.355
60000 10.712
62000 11.069
64000 11.426
66000 11.783
68000 12.140
70000 12.497
72000 12.854
74000 13.211
76000 13.568
78000 13.925
80000 14.283
82000 14.640
84000 14.997
86000 15.354
88000 15.711
90000 16.068
92000 16.425
94000 16.782
96000 17.139
98000 17.496
100000 17.853
