2000 0.206
4000 0.412
6000 0.618
8000 0.824
10000 1.030
12000 1.236
14000 1.442
16000 1.648
18000 1.854
20000 2.060
22000 2.266
24000 2.472
26000 2.678
28000 2.884
30000 3.090
32000 3.296
34000 3.502
36000 3.708
38000 3.914
40000 4.120
42000 4.326
44000 4.532
46000 4.738
48000 4.944
50000 5.150
52000 5.356
54000 5.562
56000 5.768
58000 5.974
60000 6.180
62000 6.386
64000 6.592
66000 6.798
68000 7.004
70000 7.210
72000 7.416
74000 7.622
76000 7.828
78000 8.034
80000 8.240
82000 8.446
84000 8.652
86000 8.858
88000 9.064
90000 9.270
92000 9.476
94000 9.682
96000 9.888
98000 10.094
100000 10.300
