2000 0.211
4000 0.421
6000 0.632
8000 0.843
10000 1.053
12000 1.264
14000 1.474
16000 1.685
18000 1.895
20000 2.106
22000 2.317
24000 2.527
26000 2.738
28000 2.948
30000 3.159
32000 3.369
34000 3.580
36000 3.791
38000 4.001
40000 4.212
42000 4.422
44000 4.633
46000 4.843
48000 5.054
50000 5.265
52000 5.475
54000 5.686
56000 5.896
58000 6.107
60000 6.317
62000 6.528
64000 6.739
66000 6.949
68000 7.160
70000 7.370
72000 7.581
74000 7.791
76000 8.002
78000 8.213
80000 8.423
82000 8.634
84000 8.844
86000 9.055
88000 9.265
90000 9.476
92000 9.687
94000 9.897
96000 10.108
98000 10.318
100000 10.529
