2000 0.156
4000 0.312
6000 0.467
8000 0.623
10000 0.778
12000 0.934
14000 1.090
16000 1.245
18000 1.401
20000 1.557
22000 1.712
24000 1.868
26000 2.024
28000 2.179
30000 2.335
32000 2.491
34000 2.646
36000 2.802
38000 2.957
40000 3.113
42000 3.269
44000 3.424
46000 3.580
48000 3.736
50000 3.891
52000 4.047
54000 4.203
56000 4.358
58000 4.514
60000 4.669
62000 4.825
64000 4.981
66000 5.136
68000 5.292
70000 5.448
72000 5.603
74000 5.759
76000 5.915
78000 6.070
80000 6.226
82000 6.382
84000 6.537
86000 6.693
88000 6.848
90000 7.004
92000 7.160
94000 7.315
96000 7.471
98000 7.627
100000 7.782
