2000 0.101
4000 0.202
6000 0.302
8000 0.403
10000 0.504
12000 0.605
14000 0.705
16000 0.806
18000 0.907
20000 1.007
22000 1.108
24000 1.209
26000 1.309
28000 1.410
30000 1.511
32000 1.612
34000 1.712
36000 1.813
38000 1.914
40000 2.014
42000 2.115
44000 2.216
46000 2.317
48000 2.417
50000 2.518
52000 2.619
54000 2.719
56000 2.820
58000 2.921
60000 3.022
62000 3.122
64000 3.223
66000 3.324
68000 3.424
70000 3.525
72000 3.626
74000 3.726
76000 3.827
78000 3.928
80000 4.029
82000 4.129
84000 4.230
86000 4.331
88000 4.431
90000 4.532
92000 4.633
94000 4.734
96000 4.834
98000 4.935
100000 5.036
