2000 0.650
4000 1.300
6000 1.950
8000 2.600
10000 3.250
12000 3.900
14000 4.550
16000 5.200
18000 5.851
20000 6.501
22000 7.151
24000 7.801
26000 8.451
28000 9.101
30000 9.751
32000 10.401
34000 11.051
36000 11.701
38000 12.351
40000 13.001
42000 13.651
44000 14.301
46000 14.951
48000 15.601
50000 16.251
52000 16.901
54000 17.551
56000 18.201
58000 18.851
60000 19.501
62000 20.151
64000 20.801
66000 21.451
68000 22.101
70000 22.751
72000 23.401
74000 24.051
76000 24.701
78000 25.351
80000 26.001
82000 26.651
84000 27.301
86000 27.951
88000 28.601
90000 29.251
92000 29.901
94000 30.551
96000 31.201
98000 31.851
100000 32.502
