2000 0.188
4000 0.377
6000 0.565
8000 0.754
10000 0.942
12000 1.131
14000 1.319
16000 1.508
18000 1.696
20000 1.884
22000 2.073
24000 2.261
26000 2.450
28000 2.638
30000 2.827
32000 3.015
34000 3.204
36000 3.392
38000 3.580
40000 3.769
42000 3.957
44000 4.146
46000 4.334
48000 4.523
50000 4.711
52000 4.900
54000 5.088
56000 5.276
58000 5.465
60000 5.653
62000 5.842
64000 6.030
66000 6.219
68000 6.407
70000 6.596
72000 6.784
74000 6.973
76000 7.161
78000 7.349
80000 7.538
82000 7.726
84000 7.915
86000 8.103
88000 8.292
90000 8.480
92000 8.669
94000 8.857
96000 9.045
98000 9.234
100000 9.422
